basin,WaterYear,site_name,sampsize,totalyield,totalyield_z
Donner Blitzen,2024,Donner Blitzen River nr Frenchglen NWIS,366,238.0769503827355,0.2921138853273962
Flathead,1971,North Fork Flathead River NWIS,365,795.3479433061427,0.9260291067013042
Flathead,1972,North Fork Flathead River NWIS,366,898.4057692834027,1.5143408937804215
Flathead,1973,North Fork Flathead River NWIS,365,508.74777056947846,-0.7100451865512525
Flathead,1974,North Fork Flathead River NWIS,365,1046.1099662005868,2.3575191698931763
Flathead,1975,North Fork Flathead River NWIS,365,676.555643939242,0.24789613359551047
Flathead,1976,North Fork Flathead River NWIS,366,792.6870822494718,0.9108394216038842
Flathead,1977,North Fork Flathead River NWIS,365,345.7753428571147,-1.6403830748474684
Flathead,1978,North Fork Flathead River NWIS,365,648.9331985642651,0.09021174574869423
Flathead,1979,North Fork Flathead River NWIS,365,532.0599002925359,-0.5769664943904231
Flathead,1980,North Fork Flathead River NWIS,366,572.0614508024833,-0.3486152416516411
Flathead,1981,North Fork Flathead River NWIS,365,762.5003026049586,0.7385163776193769
Flathead,1982,North Fork Flathead River NWIS,365,686.1615769759071,0.30273217906584415
Flathead,1983,North Fork Flathead River NWIS,365,619.1914134793092,-0.07957102007555603
Flathead,1984,North Fork Flathead River NWIS,366,544.5610298565255,-0.505603045719178
Flathead,1985,North Fork Flathead River NWIS,365,586.5459326530672,-0.26592970737390115
Flathead,1986,North Fork Flathead River NWIS,365,638.942372552485,0.033178515621330514
Flathead,1987,North Fork Flathead River NWIS,365,514.8757038357426,-0.6750635115858511
Flathead,1988,North Fork Flathead River NWIS,366,427.15713779891206,-1.1758102123413308
Flathead,1989,North Fork Flathead River NWIS,365,636.0866366614105,0.016876375831628678
Flathead,1990,North Fork Flathead River NWIS,365,879.4579859295916,1.4061763348993885
Flathead,1991,North Fork Flathead River NWIS,365,881.1450799009556,1.4158072121263403
Flathead,1992,North Fork Flathead River NWIS,366,410.1848146044455,-1.2726977382981097
Flathead,1993,North Fork Flathead River NWIS,365,583.1195352531471,-0.2854895026487892
Flathead,1994,North Fork Flathead River NWIS,365,484.538366686768,-0.8482460221238971
Flathead,1995,North Fork Flathead River NWIS,365,691.2186092830182,0.3316005516101068
Flathead,1996,North Fork Flathead River NWIS,366,946.9890975476505,1.7916817400709084
Flathead,1997,North Fork Flathead River NWIS,365,818.6770714571231,1.0592048354085006
Flathead,1998,North Fork Flathead River NWIS,365,591.259353881448,-0.23902285930263298
Flathead,1999,North Fork Flathead River NWIS,365,679.1649026254321,0.26279124346288624
Flathead,2000,North Fork Flathead River NWIS,366,648.6156922141307,0.08839924168619093
