site_name,agneventid,eventlen,mindate,isevent,n_little,n_big,yield_little_cumul,yield_big_cumul,yield_little_cumul_log,yield_big_cumul_log,yield_little_mean,yield_big_mean,yield_little_mean_log,yield_big_mean_log,yield_little_q10_log,yield_little_q50_log,yield_little_q90_log,yield_big_q10_log,yield_big_q50_log,yield_big_q90_log,site_name_cd
Grouse Creek,2013_6,1,2012-09-05,2,1,1,0.5476793180436837,0.39568554486046403,-0.6020653493739779,-0.9271354618102922,0.5476793180436837,0.39568554486046403,-0.6020653493739779,-0.9271354618102922,-0.6020653493739779,-0.6020653493739779,-0.6020653493739779,-0.9271354618102922,-0.9271354618102922,-0.9271354618102922,3
Grouse Creek,2013_7,4,2012-09-06,1,4,4,2.2112993073716902,1.7377805918533826,0.79358026465894,0.552608777132604,0.5528248268429226,0.43444514796334566,-0.5927402115168771,-0.8379888599287917,-0.5988607583703851,-0.5951196559617709,-0.584716109107454,-0.9288562697171907,-0.8528538871394664,-0.7352294283718526,3
Grouse Creek,2013_8,14,2012-09-10,2,14,14,6.529990190529961,5.082397323485274,1.876405441071279,1.625783064345869,0.4664278707521401,0.3630283802489482,-0.7717437303847425,-1.0152630311622624,-0.9330754260406562,-0.7275781025825907,-0.623589685891021,-1.0990507956321074,-1.0068101548469592,-0.9307029987057558,3
Grouse Creek,2013_9,4,2012-09-24,1,4,4,1.8074197091205189,1.5581330309816666,0.5919002531073068,0.44348832954259726,0.4518549272801297,0.38953325774541664,-0.7989036416553058,-0.9468021895003382,-0.9052809361015217,-0.7542221856329681,-0.7282715120269599,-1.048919459314996,-0.9244797401836484,-0.8625428791390324,3
Grouse Creek,2014_10,3,2013-09-08,1,3,3,0.8470485886048094,2.149695319752734,-0.16599722044436,0.7653261203545992,0.28234952953493647,0.7165651065842447,-1.2652531810592917,-0.3342786409343833,-1.3019031453894387,-1.2535279313860759,-1.2332933165984312,-0.37769253380258505,-0.3354030754327573,-0.290414974266832,3
Grouse Creek,2014_11,2,2013-09-11,2,2,2,0.540027932576371,1.2777645846297747,-0.616134413768332,0.24511213290733086,0.2700139662881855,0.6388822923148874,-1.310886596081771,-0.44821427243550455,-1.3562242359195,-1.310886596081771,-1.2655489562440416,-0.4633609363457517,-0.44821427243550455,-0.4330676085252574,3
Grouse Creek,2014_12,4,2013-09-13,1,4,4,1.1300342254475195,2.653807057771423,0.12224792027223123,0.9759952346130161,0.2825085563618799,0.6634517644428557,-1.2667206670294595,-0.4109158487219805,-1.3471422000231812,-1.2366185287621194,-1.21038084464961,-0.44944796627226513,-0.3953394467211798,-0.3848448527723363,3
Grouse Creek,2014_13,4,2013-09-17,1,4,4,1.5094098166001109,2.5435898294634534,0.4117187244913878,0.9335764019220136,0.3773524541500277,0.6358974573658633,-1.0254956802354795,-0.46064979694813957,-1.2955179520388906,-1.1332300811218727,-0.6692858877229542,-0.5860554726276082,-0.4640085453407188,-0.33255712255460756,3
Grouse Creek,2014_14,3,2013-09-21,2,3,3,0.8687329147286008,1.6244279625692681,-0.1407195487959756,0.48515573077275115,0.2895776382428669,0.5414759875230895,-1.2397909569992067,-0.6150306680582811,-1.2673350705181627,-1.247697522013423,-1.2090842174745642,-0.6606275104584065,-0.6428481914942972,-0.5583068162837493,3
Grouse Creek,2014_15,5,2013-09-24,1,5,5,1.7406721664030764,2.832847916908098,0.5542713411613291,1.0412825367064227,0.3481344332806153,0.5665695833816197,-1.0730306262445564,-0.5715945163810724,-1.2932706781059748,-1.0684563417465078,-0.8764000407263153,-0.6693667566832695,-0.5555977868519771,-0.48269355142092185,3
