site_name,basin,subbasin,agneventid,eventlen,mindate,isevent,yield_little_cumul,yield_big_cumul,yield_little_cumul_log,yield_big_cumul_log,yield_little_mean,yield_big_mean,yield_little_mean_log,yield_big_mean_log,yield_little_q10_log,yield_little_q50_log,yield_little_q90_log,yield_big_q10_log,yield_big_q50_log,yield_big_q90_log,site_name_cd
Avery Brook,West Brook,West Brook,43,8,2020-11-07,2,4.383292728992228,1.6876949678195452,1.4778002065649782,0.5233636735763786,0.5479115911240285,0.21096187097744315,-0.6042406885779164,-1.557533686688338,-0.6808857944984978,-0.6141709477976431,-0.5219386013525478,-1.626404895034927,-1.559680284025568,-1.4898870766773071,8
Avery Brook,West Brook,West Brook,44,5,2020-11-15,1,4.874233893026431,2.1866838226255636,1.5839629419520076,0.7823861599700207,0.9748467786052861,0.4373367645251127,-0.15014605711455434,-0.94604767222217,-0.5786247424907344,-0.23951490579903187,0.3982621540090741,-1.3741701232700518,-1.0886234310101426,-0.39877283042266054,8
Avery Brook,West Brook,West Brook,45,2,2020-11-20,2,1.3857510447274342,0.5083611841390985,0.32624226322507655,-0.6765630916392105,0.6928755223637171,0.25418059206954924,-0.36714669638126296,-1.3708301204465072,-0.3847393687731326,-0.36714669638126296,-0.34955402398939334,-1.4086975325859297,-1.3708301204465072,-1.3329627083070845,8
Avery Brook,West Brook,West Brook,46,3,2020-11-22,1,2.7924226569755977,1.06144535325813,1.0269095548813636,0.05963152015595099,0.9308075523251992,0.35381511775271,-0.11427342881223636,-1.074855460805267,-0.4125535771450247,-0.06753106909446441,0.16530977563344318,-1.3539486489837307,-0.9005968450887668,-0.8654657189134033,8
Avery Brook,West Brook,West Brook,47,16,2020-11-25,1,62.503368439302285,35.19183088465373,4.135220450318908,3.5608139785294655,3.906460527456393,2.1994894302908583,1.0883987908131436,0.41303271560745025,0.2112313965376247,1.0474118620128987,2.041860396569886,-0.5677719637423795,0.31712334279950055,1.50579133702719,8
Avery Brook,West Brook,West Brook,48,13,2020-12-11,2,26.60717774136899,9.963554573666737,3.281181019288505,2.2989338928345355,2.046705980105307,0.7664272748974413,0.7047660972822836,-0.28203064376998277,0.5475635443512991,0.6670120661863735,0.8620215011021458,-0.43166523021620706,-0.3748327709124724,-0.039117139375427545,8
Avery Brook,West Brook,West Brook,49,16,2020-12-24,1,123.82657099217445,86.5534979690011,4.818881965590868,4.460762696391909,7.739160687010903,5.409593623062569,1.6569722078933145,1.2990372569969635,1.1042608477475966,1.4854232665931053,2.186649117739332,0.6153857685752538,1.2662485824393181,2.0137031417633264,8
Avery Brook,West Brook,West Brook,50,6,2021-01-09,2,14.240867109220716,7.812422872157167,2.6561157966314113,2.055715142649905,2.3734778515367863,1.3020704786928612,0.859899506634375,0.257242317017799,0.7883456546619574,0.8084797012939625,0.9828731639472051,0.13975753938449054,0.22874620267915324,0.40322320898975317,8
Avery Brook,West Brook,West Brook,51,8,2021-01-15,1,20.68272156116936,16.0574533418683,3.0292986445194128,2.7761731244546843,2.58534019514617,2.0071816677335375,0.9087923487331985,0.6058769525934982,0.6537644823990054,0.8027190871007635,1.2743955933869846,0.25394856827535595,0.45488932164072016,1.1651032019523564,8
Avery Brook,West Brook,West Brook,52,17,2021-01-23,2,21.71722330119022,17.70622927766033,3.0781056462484053,2.873916514255607,1.2774837235994247,1.0415428986859017,0.23250204558560789,0.0376008153344095,0.039688975601899296,0.22510238272042657,0.4210512685466352,-0.035491891240365406,0.02940097168336084,0.14195173360078805,8
