basin,year,month,date,spi_1,spi_2,spi_3,spi_4,spi_5,spi_6,spi_7,spi_8,spi_9,spi_10,spi_11,spi_12,spi_13,spi_14,spi_15,spi_16,spi_17,spi_18,spi_19,spi_20,spi_21,spi_22,spi_23,spi_24,dsci_monthly_1,dsci_monthly_2,dsci_monthly_3,dsci_monthly_4,dsci_monthly_5,dsci_monthly_6,dsci_monthly_7,dsci_monthly_8,dsci_monthly_9,dsci_monthly_10,dsci_monthly_11,dsci_monthly_12,dsci_monthly_13,dsci_monthly_14,dsci_monthly_15,dsci_monthly_16,dsci_monthly_17,dsci_monthly_18,dsci_monthly_19,dsci_monthly_20,dsci_monthly_21,dsci_monthly_22,dsci_monthly_23,dsci_monthly_24
Paine Run,1981,10,1981-10-01,0.5393022690144602,0.13714713222070601,-0.10969213746066449,0.3369677341377483,0.02331134169760658,0.04829651887265028,-0.1942847033307663,-0.6721232007928466,-0.3905347257100193,-0.755827917018252,-1.1431610537172616,-1.2246810497254739,-1.3274190758085316,-1.5820070424798578,-1.6832582484733114,-1.5488759351232924,-1.8905211356097398,-1.8948228111603804,-1.576236251400413,-1.378364640332182,-1.5260815290337073,-1.3618829818534077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1981,11,1981-11-01,-1.774787017519106,-0.514193638407246,-0.512284196335222,-0.6693312147080107,-0.22122749840001424,-0.44142481148852697,-0.36429648974777956,-0.5777123428453771,-1.0436763247431116,-0.7698450770057449,-1.1127867825547613,-1.4929547401381134,-1.546632959373485,-1.6346552137103412,-1.9039763104206646,-2.0033017848186616,-1.8349844661529162,-2.1669211552819707,-2.167688667580755,-1.829890592186116,-1.611942160727966,-1.7383103561373459,-1.5867410458816997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1981,12,1981-12-01,0.23087137850416056,-0.8688015831021484,-0.3624687751964103,-0.4211185348585412,-0.5774618920113087,-0.18598955004158163,-0.38935822922170654,-0.32543732781132506,-0.5191113793301344,-0.9389533941137236,-0.6995800366325634,-1.03522047136937,-1.435137576860572,-1.5049930686427702,-1.5889435001637937,-1.8897763641423877,-1.9992981491100896,-1.8219029272938951,-2.1407008898744455,-2.138249622859408,-1.8286250619807483,-1.610407243198872,-1.7331784021892196,-1.5846555240932176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1982,1,1982-01-01,0.007231051119108767,0.07216600449685714,-0.832880595605142,-0.40767252727768666,-0.48538848675854906,-0.6568049690709511,-0.2709561209421003,-0.45264155307724224,-0.40479552458991835,-0.5998163671076621,-1.0254458907193842,-0.7667185043612665,-1.0983007987253843,-1.4983846213154024,-1.5385407192088256,-1.6406397116922609,-1.912575287775286,-2.0421311204577957,-1.8547272977666784,-2.1448246186674256,-2.1273351161647995,-1.8339560674412303,-1.6170971149179965,-1.7485060593748647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1982,2,1982-02-01,0.8914645614655679,0.5391740945314769,0.4421214724298936,-0.2593376811905274,-0.0486012222195346,-0.18784163774415366,-0.349244969973365,-0.024229488992965155,-0.2162442207357747,-0.19197215257015576,-0.37715232911729635,-0.7475950786571358,-0.5324786284925774,-0.8494513048188314,-1.2181953565425583,-1.2776959739959197,-1.389610544741797,-1.6790475948701273,-1.8073138061374412,-1.6295512496301818,-1.9229990599919662,-1.919636210671287,-1.6463622494620709,-1.4429698441726937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1982,3,1982-03-01,0.32581083019124096,0.7339450056247004,0.5004047041165315,0.4404490913321388,-0.14752219689310164,0.012108980239217144,-0.11457687828218437,-0.2689003306027221,0.02677383402155478,-0.15736571365988847,-0.13742841344851722,-0.3142719055987008,-0.6535596363794867,-0.45586766519960564,-0.7568853565727666,-1.1130410417573062,-1.1807230773308912,-1.3029311258591683,-1.5867831994854122,-1.7284302794623856,-1.5351942459292378,-1.8180778828248034,-1.8211893394239154,-1.5780190168557293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1982,4,1982-04-01,-0.17894364687257325,0.028366982586749814,0.43416824639341706,0.2968399288512759,0.2989561593764436,-0.23778409321653687,-0.07331143947629232,-0.1939059422331823,-0.34644399704090567,-0.04955525255954634,-0.22458531022206782,-0.20174692182249665,-0.38284762355772967,-0.7294722566325781,-0.5247493610637192,-0.8317483103444081,-1.2018854446929974,-1.2550008016969276,-1.3663797964848097,-1.6677894052324205,-1.804055018134454,-1.5831174141486248,-1.8660321099841635,-1.8598002172525652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1982,5,1982-05-01,-0.22786387273804026,-0.3638897156941607,-0.20911561925341063,0.19518596034133778,0.10299495185530971,0.1305704839860279,-0.4000305820260999,-0.2190938575590877,-0.31321951779200824,-0.4699407412405365,-0.16655028349195283,-0.32997850758855707,-0.29617406040160676,-0.472740864462611,-0.8212486026397567,-0.6176400711276905,-0.924408494729774,-1.287942789845404,-1.3457913017909053,-1.4692215739931052,-1.769722948219508,-1.9181757996135376,-1.7175028499705332,-1.9988091501546612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1982,6,1982-06-01,1.07061110245781,0.5969171152558668,0.38785501015481394,0.42888649641400534,0.6664586964562564,0.53605940013369,0.5101777908129644,0.03238239640950254,0.1457420958046572,0.015346113167539036,-0.12796232388282927,0.1588418852387308,-0.03249737521929391,-0.021897984826957262,-0.20491975568852291,-0.5364122317247566,-0.35483254909003975,-0.6624244995794822,-1.0380820317881063,-1.1139888052144458,-1.2568348078830143,-1.543566146440737,-1.6981541799045803,-1.537627933853731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1982,7,1982-07-01,0.49520857669259916,0.9898779089003743,0.6532693697670177,0.507660360381548,0.5445351638007773,0.7546120063153752,0.6246247863405591,0.5972978142087335,0.14664705602613332,0.24284759153518223,0.11158040447235643,-0.019863822200912522,0.24751076252662219,0.05526909287340999,0.06131977276740321,-0.11265843801856609,-0.4214925445728039,-0.2557694416914038,-0.5519042560615213,-0.8958820719939198,-0.9745833187885912,-1.1291565796726624,-1.367520636446385,-1.505363771320019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
