site_name,basin,subbasin,agneventid,eventlen,mindate,isevent,yield_little_cum,yield_big_cum,yield_little_cum_log,yield_big_cum_log,xxx_little,yyy_little,yield_little_mean_log,yield_big_mean_log,yield_little_q25_log,yield_little_q50_log,yield_little_q75_log,yield_big_q25_log,yield_big_q50_log,yield_big_q75_log,site_name_cd,z_yield_big_cum_log,z_yield_big_mean_log
Mitchell Brook,West Brook,West Brook,61,11,2021-04-03,2,22.18026035931017,12.555333402254446,3.0992027203253802,2.5301455475938353,22.070260359310172,22.070260359310172,0.66955105981815,0.12055175444776664,0.48930242377581046,0.7287162785630671,0.8571817304388785,-0.015970473898284862,0.09182077001448731,0.2739119433370429,2,0.6638707615247579,0.4059613460831834
Mitchell Brook,West Brook,West Brook,62,11,2021-04-14,1,35.95661227648005,33.35006769462896,3.5823129970587733,3.5070598021835293,35.84661227648005,35.84661227648005,1.1285644723172483,0.9843652250975815,1.0643356619973283,1.1507399350746506,1.2020923595051405,0.7498771720163319,1.0071758218070328,1.1412034065549126,2,1.3050654162659916,1.123738739490037
Mitchell Brook,West Brook,West Brook,63,3,2021-04-25,2,8.269287262012103,5.3779280775843565,2.1125483217680294,1.6823031843069605,8.239287262012102,8.239287262012102,1.0100286235954212,0.5814211414368092,0.9481463321726145,0.9511890472400459,1.0424911268405403,0.5445896503058398,0.5974711609798581,0.6262776423393029,2,0.10739204412591526,0.7889162762085029
Mitchell Brook,West Brook,West Brook,64,23,2021-04-28,1,140.1483821205899,92.72013597744727,4.942701733631143,4.529585665568894,139.9183821205899,139.91838212058994,1.6760976181754963,1.1845845317911743,1.2486701942805662,1.7393867025680834,1.9578455391538476,0.622538759187002,1.2717232309325814,1.55244041147529,2,1.976197109612743,1.2901090230654304
Mitchell Brook,West Brook,West Brook,65,7,2021-05-21,2,12.32542870967384,5.44943525075462,2.5116645030701696,1.695511979591096,12.255428709673838,12.255428709673838,0.5510675530405004,-0.26866687007358486,0.42353769397908203,0.6228065234802116,0.6589661219617873,-0.444441445432159,-0.23544755604538456,-0.1039040079223161,2,0.11606159612801609,0.08254391944340775
Mitchell Brook,West Brook,West Brook,66,9,2021-05-28,1,17.798628942328723,13.390172758531884,2.8791214286195372,2.594521061676003,17.70862894232872,17.70862894232872,0.6098306831873873,0.2670866144245219,0.34497382085192746,0.5458979700571195,0.7440657869653758,-0.1558133927910712,0.13620475909530796,0.6931105431603123,2,0.7061234314308198,0.5277230613273681
Mitchell Brook,West Brook,West Brook,67,24,2021-06-06,2,11.35952004293566,10.067750620714321,2.4300561626588806,2.3093373074703054,11.119520042935651,11.119520042935651,-0.8366445610313791,-0.9572404431039419,-1.1969835043338792,-0.8936881429962942,-0.48752187845183204,-1.325087458109403,-0.9777714626937534,-0.6726171744005458,2,0.5189439548732463,-0.48961958716036524
Mitchell Brook,West Brook,West Brook,68,7,2021-06-30,1,9.911818373754587,7.294263153487208,2.2937278202843188,1.9870881698118088,9.841818373754585,9.841818373754585,-0.00693799240335464,-0.09807142071643181,-0.6106271087703884,-0.02789360914006698,0.7242225635467678,-0.5158253393473639,-0.33580046040248007,0.3648135723193568,2,0.30743672832716346,0.2242985471809608
Mitchell Brook,West Brook,West Brook,69,19,2021-07-07,1,107.49441422375182,80.31854532493485,4.677438885508428,4.386000544785076,107.30441422375182,107.30441422375182,1.3630743757739976,1.115179909188085,0.8335985929081957,1.138063617177053,1.8840986204562928,0.6763526238682127,1.001100581080999,1.3708331144393893,2,1.8819554589106284,1.2324379276321116
Mitchell Brook,West Brook,West Brook,70,9,2021-07-26,1,27.199323193801504,20.213134022166248,3.303192090411548,3.0063325922364355,27.109323193801504,27.109323193801504,1.0673438484958961,0.7474923511934715,0.8747709102916725,0.9045795180241945,1.369696891726401,0.45029565653708764,0.7176811926259143,0.9575079529348531,2,0.9764146580309042,0.9269115310977192
