subbasin,site_name_big,site_name_little,shared_area_km2,shared_area_prop,area_sqmi_big,area_sqmi_little,elev_ft_big,elev_ft_little,area_sqmi_diff,area_sqmi_reldiff,elev_ft_diff,elev_ft_reldiff,riverdist_km,class,prop_cover_little,prop_cover_big,prop_cover_diff
West Brook,West Brook NWIS,West Brook Reservoir,16.110503285651536,0.5450921325916933,11.392905001612014,6.210175364837062,154.14731576538085,568.7790399371338,-5.182729636774952,-0.8345544742778664,414.6317241717529,0.7289855902875421,6.8676741205320635,nlcd_43,0.5339947950553026,0.5188313035232761,0.015163491532026452
West Brook,West Brook NWIS,West Whately Brook,1.2784664474290386,0.0432563769064051,11.392905001612014,0.4928158923965915,154.14731576538085,686.2487912445068,-10.900089109215422,-22.117974029221486,532.101475479126,0.7753769219967063,9.376766626021984,nlcd_43,0.4069767441860465,0.5188313035232761,-0.1118545593372296
West Brook,West Brook NWIS,Avery Brook NWIS,7.350658381654374,0.24870644834401565,11.392905001612014,2.833488525637243,154.14731576538085,696.2353886602783,-8.559416475974771,-3.0208050600980587,542.0880728948974,0.7785988499349382,9.335134457899779,nlcd_43,0.5620907390084191,0.5188313035232761,0.043259435485142994
Paine Run,Paine Run 10,Paine Run 01,1.7366109907814413,0.13684540844462925,4.896585480989843,0.6700739896836354,1400.3952354345704,1840.9669519042968,-4.226511491306207,-6.307529551030156,440.5717164697264,0.23931538587045187,5.293655144088022,nlcd_41,0.9252199413489736,0.8777839258541984,0.04743601549477516
Paine Run,Paine Run 10,Paine Run 02,2.568896299843073,0.20242971239387078,4.896585480989843,0.9912138003019626,1400.3952354345704,1770.2416613500975,-3.90537168068788,-3.9399892127189418,369.8464259155271,0.2089242581905224,4.79384865386128,nlcd_41,0.8996677740863788,0.8777839258541984,0.02188384823218037
Paine Run,Paine Run 10,Paine Run 03,3.2095930027472304,0.2529167831676161,4.896585480989843,1.238431883091294,1400.3952354345704,1708.762356228027,-3.658153597898549,-2.953859350558144,308.3671207934567,0.18046226244950495,4.2569440586463525,nlcd_41,0.9006711409395973,0.8777839258541984,0.022887215085398926
Paine Run,Paine Run 10,Paine Run 04,4.0563532167900656,0.3196417134833064,4.896585480989843,1.5651467840312483,1400.3952354345704,1634.2663224108887,-3.3314386969585943,-2.1285151852518402,233.87108697631834,0.14310463586578043,3.413775166778417,nlcd_41,0.8596938775510204,0.8777839258541984,-0.018090048303177952
Paine Run,Paine Run 10,Paine Run 05,5.9995619540275635,0.4727670793551296,4.896585480989843,2.31493565544957,1400.3952354345704,1587.611972619629,-2.5816498255402727,-1.1152145069185113,187.2167371850585,0.11792348534392993,2.863592485529719,nlcd_41,0.8657621247113164,0.8777839258541984,-0.012021801142881983
Paine Run,Paine Run 10,Paine Run 06,7.395178980959565,0.5827420726590992,4.896585480989843,2.853441598954668,1400.3952354345704,1552.5477948730468,-2.0431438820351744,-0.7160279301961747,152.15255943847637,0.0980018521432495,2.394217426676054,nlcd_41,0.8558303886925795,0.8777839258541984,-0.021953537161618852
Paine Run,Paine Run 10,Paine Run 07,7.929127203729622,0.6248173347765944,4.896585480989843,3.0594679522831143,1400.3952354345704,1520.233403190918,-1.8371175287067283,-0.6004696101934284,119.8381677563475,0.07882879530525463,1.8600214097470351,nlcd_41,0.8617921935129191,0.8777839258541984,-0.015991732341279263
Paine Run,Paine Run 10,Paine Run 08,9.31250365117187,0.7338277671577286,4.896585480989843,3.5932434517817202,1400.3952354345704,1474.8519207983395,-1.3033420292081224,-0.36272021272643146,74.45668536376911,0.05048417696297646,1.1808437025986167,nlcd_41,0.8754685157421289,0.8777839258541984,-0.0023154101120694826
Paine Run,Paine Run 10,Paine Run 09,10.487744050003082,0.8264370234922849,4.896585480989843,4.046717398346193,1400.3952354345704,1433.886976895752,-0.84986808264365,-0.21001419150024486,33.49174146118162,0.023357309188823585,0.558450430377988,nlcd_41,0.8815493544356519,0.8777839258541984,0.003765428581453456
Piney River,Piney River 10,Piney River 01,1.41689987557289,0.11369583078390345,4.807995212302693,0.5466476447462186,1183.1179819714357,2501.955688120117,-4.2613475675564745,-7.7954192403679095,1318.8377061486813,0.5271227273971468,6.9546591943784195,nlcd_41,0.8333333333333334,0.9221615567688646,-0.0888282234355312
Piney River,Piney River 10,Piney River 02,2.852768948257178,0.22891380061380825,4.807995212302693,1.1006112681261868,1183.1179819714357,2369.7392778955077,-3.707383944176506,-3.368477183127884,1186.621295924072,0.5007391770869721,6.448479506831162,nlcd_41,0.8742478941034898,0.9221615567688646,-0.04791366266537478
Piney River,Piney River 10,Piney River 03,3.7208192043696493,0.298568471866414,4.807995212302693,1.4355098765513798,1183.1179819714357,2162.4095737646485,-3.372485335751313,-2.3493292458936312,979.2915917932128,0.45287054019480427,5.83220703314409,nlcd_41,0.8979166666666667,0.9221615567688646,-0.02424489010219788
Piney River,Piney River 10,Piney River 04,4.690414112706989,0.37637135725567555,4.807995212302693,1.8095899813656533,1183.1179819714357,2024.9685299682617,-2.9984052309370393,-1.6569528245698046,841.850547996826,0.4157351265157788,5.258130783065956,nlcd_41,0.9163442049014189,0.9221615567688646,-0.005817351867445697
Piney River,Piney River 10,Piney River 05,5.975613284829736,0.4794991718009339,4.807995212302693,2.3054297684196055,1183.1179819714357,1874.3122129907224,-2.5025654438830873,-1.0855092955612438,691.1942310192867,0.36877219613075635,4.504518906685578,nlcd_41,0.9251484001737368,0.9221615567688646,0.002986843404872208
Piney River,Piney River 10,Piney River 06,6.995479971252218,0.5613359989477691,4.807995212302693,2.698893735097896,1183.1179819714357,1603.3088015686037,-2.109101477204797,-0.7814688847422495,420.190819597168,0.2620772861635092,3.6222393749141433,nlcd_41,0.9226079382854299,0.9221615567688646,4.4638151656528624e-4
Piney River,Piney River 10,Piney River 08,9.358498749247454,0.7509509376981195,4.807995212302693,3.610564117749427,1183.1179819714357,1354.607953343506,-1.1974310945532656,-0.33164653929471283,171.48997137207039,0.12659749335502637,1.7184766072037696,nlcd_41,0.9149470161740101,0.9221615567688646,-0.0072145405948544905
Piney River,Piney River 10,Piney River 09,11.10166467422159,0.8908272277951823,4.807995212302693,4.283095330897672,1183.1179819714357,1238.919895999756,-0.5248998814050205,-0.12255152894180607,55.8019140283202,0.04504077641217507,0.5305056713097447,nlcd_41,0.9241460541813898,0.9221615567688646,0.0019844974125252657
Staunton River,Staunton River 10,Staunton River 01,1.2368872191026359,0.11622372776978163,4.106115133067873,0.47722811916090513,996.5580535754394,2940.0147104785156,-3.6288870139069678,-7.604093028481899,1943.4566569030762,0.6610363716808615,6.229387967818215,nlcd_41,0.7046527309507754,0.8674560105245848,-0.16280327957380936
Staunton River,Staunton River 10,Staunton River 02,2.143795953989379,0.20144112858663615,4.106115133067873,0.827132669699385,996.5580535754394,2487.8919701708983,-3.278982463368488,-3.9642763289233987,1491.333916595459,0.5994367659352252,5.299531883854115,nlcd_41,0.7679777512912197,0.8674560105245848,-0.09947825923336506
Staunton River,Staunton River 10,Staunton River 03,3.2255071997439564,0.30308379366591626,4.106115133067873,1.2444908252439155,996.5580535754394,2199.257748310547,-2.8616243078239574,-2.2994338325178814,1202.6996947351076,0.5468661850385714,4.512463492414185,nlcd_41,0.8275033377837117,0.8674560105245848,-0.03995267274087311
Staunton River,Staunton River 10,Staunton River 04,4.924583701109424,0.4627369954331721,4.106115133067873,1.9000379401638672,996.5580535754394,2053.119194470215,-2.206077192904006,-1.1610700745869027,1056.5611408947757,0.5146126653242895,4.089950998133375,nlcd_41,0.8644186863364945,0.8674560105245848,-0.003037324188090218
Staunton River,Staunton River 10,Staunton River 05,6.415808730549231,0.6028594974595393,4.106115133067873,2.4754040339158094,996.5580535754394,1710.9466459448242,-1.6307110991520637,-0.6587656305029378,714.3885923693848,0.4175399589826969,2.8219547359569086,nlcd_41,0.8826800488268005,0.8674560105245848,0.015224038302215748
Staunton River,Staunton River 10,Staunton River 06,7.27340395758982,0.6834431696528233,4.106115133067873,2.8062836995594096,996.5580535754394,1524.8785231542968,-1.2998314335084635,-0.4631860398549651,528.3204695788573,0.34646725070663126,2.0971756932729595,nlcd_41,0.8854578096947935,0.8674560105245848,0.01800179917020872
Staunton River,Staunton River 10,Staunton River 07,7.526080733267598,0.707185865297642,4.106115133067873,2.903781037857097,996.5580535754394,1432.06693571167,-1.2023340952107762,-0.4140581123492915,435.5088821362307,0.30411209928522176,1.6699300754762463,nlcd_41,0.8847622353349531,0.8674560105245848,0.017306224810368365
Staunton River,Staunton River 10,Staunton River 08,8.198072989450962,0.7703294113217649,4.106115133067873,3.1630526784800455,996.5580535754394,1265.5244566418455,-0.9430624545878277,-0.2981494620699777,268.9664030664061,0.21253354817031872,0.9745303546411851,nlcd_41,0.8806890684814972,0.8674560105245848,0.01323305795691243
Staunton River,Staunton River 10,Staunton River 09,8.436664645175167,0.7927486029948341,4.106115133067873,3.2551121104745224,996.5580535754394,1154.3350388867188,-0.8510030225933507,-0.2614358564962893,157.77698531127942,0.13668214166265374,0.6040731434248865,nlcd_41,0.8799710773680405,0.8674560105245848,0.012515066843455713
Big Creek,BigCreekLower,BigCreekMiddle,191.147683915524,0.9060248538800343,81.20836169822488,73.57684383630901,3428.656019458008,3528.955126972656,-7.631517861915867,-0.10372173450242281,100.29910751464831,0.028421757689135237,3.541665458184696,nlcd_42,0.7312758222168154,0.6901333242924829,0.041142497924332555
Big Creek,BigCreekLower,BigCreekUpper,138.09437820119953,0.6545563946602162,81.20836169822488,53.15557775122348,3428.656019458008,3913.1550276416015,-28.052783947001394,-0.5277486415121451,484.49900818359356,0.12381288366067973,13.054032145818775,nlcd_42,0.8764333434656353,0.6901333242924829,0.18630001917315242
Big Creek,BigCreekLower,HallowattCreekLower,73.02161228702406,0.3461166478568165,81.20836169822488,28.107437667608135,3428.656019458008,3916.406231147461,-53.10092403061674,-1.8892125514454794,487.75021168945295,0.12454025014319005,13.127429034895515,nlcd_42,0.7880088263620515,0.6901333242924829,0.09787550206956863
Big Creek,BigCreekLower,LangfordCreekLower,10.3703775573598,0.04915476671556271,81.20836169822488,3.9917383485056335,3428.656019458008,3431.6909566552736,-77.21662334971924,-19.344109410033457,3.0349371972656627,8.843853469321986e-4,0.053548007816842075,nlcd_42,0.16637227689460846,0.6901333242924829,-0.5237610473978744
Big Creek,BigCreekLower,LangfordCreekUpper,7.437887375856214,0.035254995953100214,81.20836169822488,2.8629721928853806,3428.656019458008,3594.2883778125,-78.3453895053395,-27.36505429568315,165.63235835449223,0.04608210052842138,1.7753360806939422,nlcd_42,0.209960252513444,0.6901333242924829,-0.4801730717790389
Big Creek,BigCreekLower,NicolaCreek,8.69244775588286,0.04120151260302028,81.20836169822488,3.3459242688995237,3428.656019458008,4958.18627071289,-77.86243742932535,-23.27083076956023,1529.5302512548824,0.3084858389224989,19.897495494076356,nlcd_42,0.9880928557134281,0.6901333242924829,0.2979595314209452
Big Creek,BigCreekLower,SkookoleelCreek,22.31245584851531,0.10575927019230806,81.20836169822488,8.588619867768715,3428.656019458008,3965.1818931054686,-72.61974183045616,-8.455344740891698,536.5258736474607,0.13530927158230868,13.677633936204323,nlcd_42,0.9532617736760803,0.6901333242924829,0.2631284493835975
Big Creek,BigCreekLower,WernerCreek,10.338543251378342,0.04900387463131454,81.20836169822488,3.979528178062408,3428.656019458008,4284.324883217773,-77.22883352016247,-19.40653013739041,855.6688637597654,0.19972081648418527,19.005625467670942,nlcd_42,0.933919959387427,0.6901333242924829,0.24378663509494414
Big Creek,BigCreekLower,Hallowat Creek NWIS,26.062045137562514,0.1235320258863844,81.20836169822488,10.031755198492965,3428.656019458008,4453.618950571289,-71.17660649973192,-7.095129924065983,1024.9629311132812,0.23014158653645117,21.3186695800673,nlcd_42,0.9385450228929965,0.6901333242924829,0.2484116986005136
Big Creek,BigCreekLower,Big Creek NWIS,191.18174602507588,0.9061863055764264,81.20836169822488,73.58997162600322,3428.656019458008,3528.27428859375,-7.618390072221658,-0.10352484046249691,99.61826913574214,0.028234275735814912,3.541665458184696,nlcd_42,0.7312147381618466,0.6901333242924829,0.0410814138693637
Coal Creek,CoalCreekLower,CoalCreekHeadwaters,32.28145560214238,0.20719803000637027,59.96942592546272,12.425474770141374,3658.917962163086,4595.677480302735,-47.54395115532135,-3.8263287347031816,936.7595181396487,0.20383491273150456,21.055602029753334,nlcd_42,0.9209940958396265,0.8406651315714105,0.08032896426821601
Coal Creek,CoalCreekLower,CoalCreekMiddle,117.88356911743483,0.7566338888891766,59.96942592546272,45.37480407048821,3658.917962163086,3874.49462152832,-14.594621854974513,-0.3216459476563748,215.5766593652338,0.05563994286310254,7.886796299077587,nlcd_42,0.9016229637255496,0.8406651315714105,0.06095783215413908
Coal Creek,CoalCreekLower,CycloneCreekLower,0,0,59.96942592546272,12.635366966572258,3658.917962163086,3701.7687282519537,-47.334058958890466,-3.746156252059478,42.85076608886766,0.011575754520218936,1.0361976092120393,nlcd_42,0.7692576278470133,0.8406651315714105,-0.07140750372439719
Coal Creek,CoalCreekLower,CycloneCreekMiddle,0,0,59.96942592546272,11.238076285269605,3658.917962163086,3853.742267246094,-48.731349640193116,-4.33627147593473,194.82430508300786,0.05055457567540717,3.208952476431004,nlcd_42,0.7997041152139126,0.8406651315714105,-0.04096101635749794
Coal Creek,CoalCreekLower,CycloneCreekUpper,0,0,59.96942592546272,9.896033096903388,3658.917962163086,4039.1349583154297,-50.073392828559335,-5.059945974132607,380.21699615234365,0.09413327360344448,6.16713576487916,nlcd_42,0.8681160414237706,0.8406651315714105,0.027450909852360095
Coal Creek,CoalCreekLower,MeadowCreek,0,0,59.96942592546272,5.7153133686457975,3658.917962163086,3684.488649702149,-54.25411255681693,-9.492762523653546,25.570687539062874,0.006940091277287552,1.788153493221418,nlcd_42,0.61941183445986,0.8406651315714105,-0.2212532971115505
